1001;true;Rui Manuel Almeida;Travessa da Rua Antiga, no2;Alvor;8500-345;Portimao;Faro;910000091;email1@email.pt;100200300;210211212;5000.00
1002;false;Manuel Santos;Travessa da Rua Nova, no3;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1003;false;Manuel Santos;Travessa da Rua Nova, no4;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1004;false;Manuel Santos;Travessa da Rua Nova, no5;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1005;false;Manuel Santos;Travessa da Rua Nova, no6;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1006;false;Manuel Santos;Travessa da Rua Nova, no7;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1007;false;Manuel Santos;Travessa da Rua Nova, no8;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1008;false;Manuel Santos;Travessa da Rua Nova, no9;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1009;false;Manuel Santos;Travessa da Rua Nova, no10;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1010;false;Manuel Santos;Travessa da Rua Nova, no11;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1011;false;Manuel Santos;Travessa da Rua Nova, no12;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1012;false;Manuel Santos;Travessa da Rua Nova, no13;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1013;false;Manuel Santos;Travessa da Rua Nova, no14;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1014;false;Manuel Santos;Travessa da Rua Nova, no15;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1015;false;Manuel Santos;Travessa da Rua Nova, no16;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1016;false;Manuel Santos;Travessa da Rua Nova, no17;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1017;false;Manuel Santos;Travessa da Rua Nova, no18;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1018;false;Manuel Santos;Travessa da Rua Nova, no19;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1019;false;Manuel Santos;Travessa da Rua Nova, no20;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
1020;false;Manuel Santos;Travessa da Rua Nova, no21;Portimao;8500-123;Portimao;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
